HIP,R'HK,logR'HK
HIP 85235,1.09900583943e-05,-4.959000000000996
HIP 86486,2.16271852372e-05,-4.66500000000141
HIP 86736,2.00447202736e-05,-4.698000000001119
HIP 86796,9.1201083935e-06,-5.040000000002814
HIP 88601,2.83139199579e-05,-4.548000000001439
HIP 88601,1.94984459975e-05,-4.710000000001792
HIP 88694,3.92644935399e-05,-4.406000000000663
HIP 88972,1.10917481526e-05,-4.95500000000094
HIP 89042,1.39958732257e-05,-4.854000000000813
HIP 89348,2.8510182675e-05,-4.545000000000596
HIP 95447,7.9615935041e-06,-5.099000000003993
HIP 96100,1.47231250243e-05,-4.832000000000802
HIP 97295,1.1967405313e-05,-4.922000000002629
HIP 97675,7.9432823472e-06,-5.100000000002341
HIP 98767,7.9067862799e-06,-5.102000000005397
HIP 98959,1.3803842646e-05,-4.860000000000908
HIP 99240,1.00230523807e-05,-4.999000000003423
HIP 99461,1.04231742939e-05,-4.982000000001377
HIP 99825,9.7498963771e-06,-5.011000000003291
HIP 100017,1.18304155572e-05,-4.927000000001896
HIP 102485,9.12010839355e-05,-4.0400000000004335
HIP 103389,3.23593656929e-05,-4.490000000000843
HIP 104214,1.71790838715e-05,-4.765000000001918
HIP 104217,1.28528665994e-05,-4.891000000001221
HIP 105090,2.48313310529e-05,-4.605000000000974
HIP 105858,3.22849412171e-05,-4.491000000000355
HIP 107350,3.83707245492e-05,-4.416000000000316
HIP 107649,1.58489319246e-05,-4.800000000000305
HIP 108870,2.76057785622e-05,-4.559000000000054
HIP 109422,1.22743923115e-05,-4.911000000002975
HIP 110649,8.511380382e-06,-5.070000000001213
HIP 111449,3.07609681474e-05,-4.5120000000001
HIP 112447,1.16144861384e-05,-4.935000000000128
HIP 113283,4.47713304176e-05,-4.349000000000352
HIP 114046,1.48593564228e-05,-4.8280000000020475
HIP 114622,1.1967405313e-05,-4.922000000002629
HIP 114924,1.01624869287e-05,-4.993000000000297
HIP 114948,3.68128973642e-05,-4.434000000000627
HIP 116771,1.19124200802e-05,-4.924000000002689
